question,anser,c1,c2,c3
フランスから伝わった料理で「カリカリした」という意味があるのは？,コロッケ,カツレツ,コロッケ,エビフライ
フランス人が「うみのクモ」と呼んでいる海のせいぶつは？,エビ,タコ,エビ,クラゲ
ナポレオンの墓がある国は？,フランス,イギリス,スペイン,フランス
ジャンケンのグーチョキパーみっつあわせて結んでいる指何ぼん？,8ぽん,6ぽん,8ぽん,10ぽん
ビールの王冠のギザギザさてその数は？,21,11,21,31
黄色いレモンの花は何色？,しろ,きいろ,しろ,だいだい
日本でマッチが初めて作られたのは？,めいじじだい,えどじだい,めいじじだい,たいしょうじだい
野球のプレー中 打球をネコがくわえて逃げたら？,ヒット,ヒット,ファウル,ノーカウント
実際に日本海にいる魚は？,コンペイトウ,コンペイトウ,カリントウ,オメデトウ
会社が潰れることを？,とうさん,かあさん,とうさん,おじいさん
ガンで死んだのは？,ブラームス,バッハ,ベートーベン,ブラームス
スイカはもともと何語？,ちゅうごくご,ちゅうごくご,にほんご,ポルトガルご
じゃんけんという言葉はどこの国からはいってきた？,ちゅうごく,ちゅうごく,オランダ,ポルトガル
銀座に初めてできたデパートは？,まつや,まつや,みつこし,まつざかや
ゴム製品のなかで最も早く使われるようになったのは？,けしゴム,けしゴム,わゴム,パンツのゴム
日本とまったく時差のない国は？,かんこく,ちゅうごく,オーストラリア,かんこく
セミで鳴くのは？,オスだけ,オスだけ,メスだけ,オス メスりょうほう
一番大きい数はどれ？,3ぶんの1,0.3,3ぶんの1,4ぶんの1
ニューヨークの自由の女神ができたのは？,19せいき,18せいき,19せいき,20せいき
トムソーヤがあこがれた職業は？,ピエロ,せんちょう,やきゅうせんしゅ,ピエロ
世界で最初の自動車メーカーは？,ベンツ,ポルシェ,ベンツ,フォード
「げんのう」といえば？,かなづち,のこぎり,かなづち,かんな
ドライアイスと成分が同じものは？,ビールのあわ,ビールのあわ,せっけんのあわ,しょうかきのあわ
別名コモリグマ フクログマとも言われるのは？,コアラ,カンガルー,コアラ,アライグマ
京都の平安神宮ができたのは？,めいじじだい,へいあんじだい,えどじだい,めいじじだい
仏さまが座る席のことをなんという？,ししざ,ぎんざ,ししざ,ござ
「なかなかめがでない」の め とは？,さいころ,もやし,さいころ,かたつむり
ラスベガスにないギャンブルは？,オイチョカブ,ルーレット,スロットマシーン,オイチョカブ
熱帯植物「ヤシ」の花言葉の意味は？,しょうり,じょうねつ,しょうり,えいよ
あわだてクリームを混ぜて作ったお菓子は？,ムース,ムース,ゼリー,クッキー
もっとも古い歴史を持つ体操競技は？,あんば,あんば,つりわ,てつぼう
人の舌の敏感さを確かめるのに使う味は？,にがみ,あまみ,にがみ,すっぱみ
何回聞いても忘れてしまう人のことを？,ざるみみ,かやみみ,ざるみみ,すだれみみ
日本で最初の女子プロスポーツは？,けいりん,ゴルフ,プロレス,けいりん
牛乳の脂肪分をなんという？,クリーム,ソフト,クリーム,オイル
ミツバチが花粉を運ぶのは？,うしろあし,しょっかく,まえあし,うしろあし
もっともカロリーが高いものは？,さつまいも,じゃがいも,さつまいも,やまいも
ブラウン管を発明したブラウンはどこの人？,ドイツ,ドイツ,イギリス,アメリカ
ゴジラと戦ったことがあるのは？,キングコング,フランケンシュタイン,キングコング,スフィンクス
ロボットという言葉は何語？,チェコご,チェコご,ラテンご,ギリシャご
大根のことを中国では？,ロープ,ロープ,ヒモ,ツナ
500円玉に描かれている植物は？,たけ,まつ,たけ,うめ
タマゴを茹でる時ひびがはいらないように入れると良いものは？,す,さとう,さけ,す
東京ディズニーランドがあるのは？,ちばけん,ちばけん,さいたまけん,とうきょうと
太陽の光が地球に届くまでの時間は？,やく8ぷん,やく8びょう,やく8ぷん,やく8じかん
最初のドッグフードは？,にくのかんづめ,さかなのかんづめ,にくのかんづめ,ビスケットのかんづめ
桃太郎の家来のなかで一番最後に家来になったのは？,キジ,サル,キジ,イヌ
温度計を発明した人は？,ガリレオ,フランクリン,ニュートン,ガリレオ
水にとけないビタミンは？,ビタミンA,ビタミンA,ビタミンB1,ビタミンC
ゴルフのクラブにあるのは？,スプーン,ナイフ,フォーク,スプーン
「ジャックと豆の木」でジャックが退治したのは？,きょじん,きょじん,おおかみ,だいじゃ
ロダンの名作は？,カレーのしみん,カレーのしみん,ピラフのしみん,ナポリのしみん
ドン キホーテが敵の兵隊と思ったのはなんの群れ？,ヒツジ,ヒツジ,ウマ,ウシ
牛のツノは何が変化したもの？,ひふ,しぼう,け,ひふ
結婚しなかったのは？,にんぎょひめ,しらゆきひめ,ねむりひめ,にんぎょひめ
「マスコット」はもともとなんの名前？,まほうつかい,あくま,てんし,まほうつかい
コオロギの耳はどこにある？,まえあし,あご,まえあし,はら
タンパク質でできている糸は？,きぬ,もめん,あさ,きぬ
ボート競技のスタートで審判の号令は？,ロー,ロー,ハイ,ドー
ミッキーマウスの恋人はミニーマウス。ドナルドダックの恋人は？,ディジーダック,ディジーダック,パンジーダック,ポピーダック
あくびの原因は血液中の何が不足したとき？,さんそ,にさんかたんそ,ちっそ,さんそ
「スパゲッティー」の元の意味は？,ひも,ひも,ペン,うまのしっぽ
江戸時代長崎で行われていたスポーツは？,ボーリング,ボーリング,バスケットボール,テニス
テニスコートのラインでないものは？,エンドライン,エンドライン,ベースライン,サービスライン
「ほとけのかおも3どまで」何を3度した？,なでられた,たたかれた,つばをかけられた,なでられた
人間で一番長い骨があるのは？,ふともも,ふともも,せなか,うで
日本でもっとも大きい島は？,さどがしま,さどがしま,あわじしま,あまみおおしま
海に面していない国は？,チェコスロバキア,ギリシャ,チェコスロバキア,フランス
もっとも古い人は？,ペキンげんじん,やよいじん,ペキンげんじん,クロマニヨンじん
牛の胃はいくつある？,4つ,2つ,3つ,4つ
クリスマスツリーに使われるのは？,モミ,モミ,マツ,スギ
富士山の高さは東京タワーの約何倍？,やく11ばい,やく9ばい,やく11ばい,やく13ばい
ジャケットやコートの裾にいれる切り込みは？,ベンツ,ポルシェ,アウディ,ベンツ
野球場のグラウンド整備に使われるのは？,トンボ,トンボ,セミ,コオロギ
